,NCODER_ID,X,UserName,Condition,CONFIDENCE.Pre,CONFIDENCE.Post,CONFIDENCE.Change,C.Level.Pre,NewC.Change,C.Change,Timestamp,ActivityNumber,GroupName,GameHalf,GameDay,text,Hydraulic_c,Technical.Constraints_c,Performance.Parameters_c,PAM_c,Pneumatic_c,Client.and.Consultant.Requests_c,Electric_c,SE_c,null_c,total_after
16,16,16,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:11,5,Electric,First,8,Its more risky because it had the highest RPN,0,0,1,0,0,0,0,0,0,1
17,17,17,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:12,5,Electric,First,8,"As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.",0,0,1,0,0,0,0,0,0,1
18,18,18,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:12,5,Electric,First,8,"As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.",0,0,1,0,0,0,0,0,0,1
19,19,19,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:13,5,Electric,First,8,@Brandon: Ya I agree with that.,0,0,0,0,0,0,0,0,1,1
20,20,20,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:16,5,Electric,First,8,I would choose based on lower cost and more reliable and also something that would be convenient for the operator.,0,0,1,0,0,0,0,0,0,1
21,21,21,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:17,5,Electric,First,8,"I would assess the five attributes of the RescuShell. Safety, cost, and recharge interval are affected by the battery. It also adds to the payload, so a heavier battery is less desirable. The recharge interval is mainly associated with the battery, though, so this should be most important.",0,0,1,0,0,0,0,0,0,1
22,22,22,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:17,5,Electric,First,8,"I would assess the five attributes of the RescuShell. Safety, cost, and recharge interval are affected by the battery. It also adds to the payload, so a heavier battery is less desirable. The recharge interval is mainly associated with the battery, though, so this should be most important.",0,1,0,0,0,0,0,0,0,1
23,23,23,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:19,5,Electric,First,8,I decided how long the battery can last while maintaining voltage and the cost of the battery as most important,0,0,1,0,0,0,0,0,0,1
24,24,24,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:22,5,Electric,First,8,The paper said it NiPd was more inefficient but I think according to the graphs in the testing report. It looks that NiPd lasted longer than LiPO,0,1,0,0,0,0,0,0,0,1
25,25,25,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 13:15,5,Electric,First,8,Lithium Polymer Battery 54 72Nickel Cadmium Battery 39 56Hydrogen Pro Fuel Cell 78 20,0,1,0,0,0,0,0,0,0,1
26,26,26,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:35,5,Electric,First,15,"Well I have one, Vedant sent me an email saying my synthesis was what he was looking for but then 45 seconds later he sent another one that said it was a good synthesis and gave me directions for the worklog so does that mean my synthesis was approved?",0,0,0,0,0,0,0,0,1,1
27,27,27,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:35,5,Electric,First,15,"No questions. Notebooks are due basically within 23 hours, worklogs are due in advance of the next work period.",0,0,1,0,0,0,0,0,0,1
28,28,28,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:35,5,Electric,First,15,"No questions. Notebooks are due basically within 23 hours, worklogs are due in advance of the next work period.",0,0,1,0,0,0,0,0,0,1
29,29,29,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:36,5,Electric,First,15,was not*,0,0,0,0,0,0,0,0,1,1
30,30,30,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:38,5,Electric,First,15,@Justin Kim: ok thanks,0,0,0,0,0,0,0,0,1,1
31,31,31,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:42,5,Electric,First,15,well I have it in another one is there a way to combine the two?,0,0,0,0,0,0,0,0,1,1
32,32,32,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:43,5,Electric,First,15,ok,0,0,0,0,0,0,0,0,1,1
33,33,33,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:44,5,Electric,First,15,"Okay, is there anyway to enlarge the chat?",0,0,0,0,0,0,0,0,1,1
34,34,34,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:46,5,Electric,First,15,Thanks,0,0,0,0,0,0,0,0,1,1
35,35,35,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:47,5,Electric,First,15,Sensors excelled in certain areas but were overall equal to each other over all five attributes. NiCd had the highest combination of attributes for the batteries.,0,1,0,0,0,0,0,0,0,1
36,36,36,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:47,5,Electric,First,15,Sensors excelled in certain areas but were overall equal to each other over all five attributes. NiCd had the highest combination of attributes for the batteries.,0,1,0,0,0,0,0,0,0,1
37,37,37,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:49,5,Electric,First,15,Well i just used evaluations of them as a point system which would determine which has the overall most efficiency and functionability.,0,0,0,0,0,0,0,0,1,1
38,38,38,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:49,5,Electric,First,15,I recommend the Strain-Gauge Control Sensor,0,1,0,0,0,0,0,0,0,1
39,39,39,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:50,5,Electric,First,15,I felt PFC and and NiCd were about equal but NiCd was better in the more important areas of safety and payload. I think the sensors are about even but I think the Piezoelectric sensor was the best choice.,0,0,1,0,0,0,0,0,0,1
40,40,40,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:51,5,Electric,First,15,"No, there was not a clearly superior sensor. I chose the piezoelectric sensor because it seemed to be the most balanced to me.",0,1,0,0,0,0,0,0,0,1
41,41,41,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:51,5,Electric,First,15,"No, there was not a clearly superior sensor. I chose the piezoelectric sensor because it seemed to be the most balanced to me.",0,1,0,0,0,0,0,0,0,1
42,42,42,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:51,5,Electric,First,15,The sensors are nearly identical in value,0,1,0,0,0,0,0,0,0,1
43,43,43,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:51,5,Electric,First,15,with different strengths and weaknesses to each of them,0,0,0,0,0,0,0,0,1,1
44,44,44,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:53,5,Electric,First,15,I chose based on which graph had the largest area inside of it but if it was about equal I selected based on categories I felt were most important such as safety and payload.,0,0,1,0,0,0,0,0,0,1
45,45,45,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:53,5,Electric,First,15,"The best one is the one with the highest total desirability over all five attributes (payload, agility, recharge interval, cost, and safety).",0,0,1,0,0,0,0,0,0,1
46,46,46,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:53,5,Electric,First,15,"The best one is the one with the highest total desirability over all five attributes (payload, agility, recharge interval, cost, and safety).",0,0,1,0,0,0,0,0,0,1
47,47,47,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:55,5,Electric,First,15,Like I said using the values given can be used as a point system which is essentially the same as the area enclosed by the graph. The most total points indicates the most valuable components,0,0,0,0,0,0,0,0,1,1
48,48,48,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:56,5,Electric,First,15,"I agree. Safety was a key concern to me, more important than cost, and that helped me decide to choose the piezoelectric sensor. The cost is not MUCH more than the strain-gauge sensor, but its safety is quite a bit better. The agility and recharge interval were more balanced for the piezoelectric sensor. Payload, agility, and recharge interval were all about equal to me, but I preferred sensors and batteries that did not lack too much in any of these areas.",0,0,1,0,0,0,0,0,0,1
49,49,49,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:56,5,Electric,First,15,"I agree. Safety was a key concern to me, more important than cost, and that helped me decide to choose the piezoelectric sensor. The cost is not MUCH more than the strain-gauge sensor, but its safety is quite a bit better. The agility and recharge interval were more balanced for the piezoelectric sensor. Payload, agility, and recharge interval were all about equal to me, but I preferred sensors and batteries that did not lack too much in any of these areas.",0,1,0,0,0,0,0,0,0,1
50,50,50,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:56,5,Electric,First,15,@Brandon: That's almost exactly my thought process,0,0,0,0,0,0,0,0,1,1
51,51,51,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:56,5,Electric,First,15,I do not think prioritizing is effective because that is opinion.,0,0,0,0,0,0,0,0,1,1
52,52,52,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 9:57,5,Electric,First,15,"It should be based on the statistics, on the other hand when they are equal i also chose safety in the control sensor category",0,1,0,0,0,0,0,0,0,1
53,53,53,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 9:59,5,Electric,First,15,Maybe we should make a prototype with our chosen power source and sensors and test it to gain more information about how they work with the exoskeleton in general.,0,1,0,0,0,0,0,0,0,1
54,54,54,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:59,5,Electric,First,15,"I suppose we should figure out how these components are integrated into the exoskeleton as a whole, although we could possibly research more power sources and sensors.",0,1,0,0,0,0,0,0,0,1
55,55,55,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 9:59,5,Electric,First,15,"I suppose we should figure out how these components are integrated into the exoskeleton as a whole, although we could possibly research more power sources and sensors.",0,1,0,0,0,0,0,0,0,1
56,56,56,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:00,5,Electric,First,15,"@Akash: That would be good. We have information about the sensors and power sources individually, but not power sources and sensors working together.",0,1,0,0,0,0,0,0,0,1
57,57,57,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:00,5,Electric,First,15,"@Akash: That would be good. We have information about the sensors and power sources individually, but not power sources and sensors working together.",0,1,0,0,0,0,0,0,0,1
58,58,58,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 10:00,5,Electric,First,15,"I would say more specifically research each component to get a more accurate judgement on which is the best, because a five point scale ranking each of the attributes is not very accurate.",0,0,0,0,0,0,0,0,1,1
59,59,59,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 10:02,5,Electric,First,15,Perhaps assign us to develop a prototype.,0,0,0,0,0,0,0,0,1,1
60,60,60,alexander b,FirstGame,5,7,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:03,5,Electric,First,15,I just finished the graphs and in my opinion I feel like the Strain Gauge is the best option for the control sensor because it has the overall best average of the main attributes.,0,1,0,0,0,0,0,0,0,1
61,61,61,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:04,5,Electric,First,15,"@Justin: Yes. Although we have preferences for certain sensors, we are not completely sure whether there are other important differences.",0,1,0,0,0,0,0,0,0,1
62,62,62,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:04,5,Electric,First,15,"@Justin: Yes. Although we have preferences for certain sensors, we are not completely sure whether there are other important differences.",0,1,0,0,0,0,0,0,0,1
63,63,63,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 10:04,5,Electric,First,15,agreed.,0,0,0,0,0,0,0,0,1,1
64,64,64,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:05,5,Electric,First,15,"@Alexander: The piezoelectric and strain-gauge sensors are equally balanced in terms of these rankings. Two 1s, two 2s, and a 3.",0,1,0,0,0,0,0,0,0,1
65,65,65,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:05,5,Electric,First,15,"@Alexander: The piezoelectric and strain-gauge sensors are equally balanced in terms of these rankings. Two 1s, two 2s, and a 3.",0,1,0,0,0,0,0,0,0,1
66,66,66,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 10:05,5,Electric,First,15,"It seems that we are split, half strain gauge and half piezoelectric",0,1,0,0,0,0,0,0,0,1
67,67,67,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 10:05,5,Electric,First,15,Half in favor of*,0,0,0,0,0,0,0,0,1,1
68,68,68,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 10:06,5,Electric,First,15,@Justin Kim: I think we may need more research with how the sensors and the interact with the battery and that might help us decide a sensor that is superior.,0,1,0,0,0,0,0,0,0,1
69,69,69,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/1/13 10:06,5,Electric,First,15,interaction*,0,0,0,0,0,0,0,0,1,1
70,70,70,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:06,5,Electric,First,15,"So it's all opinion and weighing the benefits, unless we can find more differences or more precise differences.",0,0,0,0,0,0,0,0,1,1
71,71,71,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/1/13 10:06,5,Electric,First,15,"So it's all opinion and weighing the benefits, unless we can find more differences or more precise differences.",0,0,0,0,0,0,0,0,1,1
72,72,72,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 10:06,5,Electric,First,15,"Exactly, like I said a five point scale is not very informative of specific in my opinion.",0,0,0,0,0,0,0,0,1,1
73,73,73,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/1/13 10:08,5,Electric,First,15,"notebook, not worklog?",0,0,0,0,0,0,0,0,1,1
74,74,74,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:37,7,Electric,First,17,I submitted it last night,0,0,0,0,0,0,0,0,1,1
75,75,75,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:46,7,Electric,First,17,So do we only look at the electric acuator or all three types,0,0,0,0,0,0,1,0,0,1
76,76,76,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:48,7,Electric,First,17,The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload.,0,0,1,0,0,0,0,0,0,1
77,77,77,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:48,7,Electric,First,17,The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload.,0,0,0,0,0,0,1,0,0,1
78,78,78,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:50,7,Electric,First,17,I think the electric actuator has a high payload,0,0,0,0,0,0,1,0,0,1
79,79,79,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:51,7,Electric,First,17,I will have the medical side with DaShawn Edwards,0,0,0,0,0,1,0,0,0,1
80,80,80,alexander b,FirstGame,5,7,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:51,7,Electric,First,17,I agree with Brandon. near the end of the page it mentions that it generates less force due to its very quick acceleration.,0,0,0,0,0,0,0,0,1,1
81,81,81,alexander b,FirstGame,5,7,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:52,7,Electric,First,17,I will take Benjamin Taylor,0,0,0,0,0,1,0,0,0,1
82,82,82,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:52,7,Electric,First,17,Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.,0,0,0,0,0,1,0,0,0,1
83,83,83,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:52,7,Electric,First,17,Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.,0,0,0,0,0,1,0,0,0,1
84,84,84,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:53,7,Electric,First,17,@Brandon: Oh wait I see what you are looking at,0,0,0,0,0,0,0,0,1,1
85,85,85,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:54,7,Electric,First,17,I'm kind of confused on what we are supposed to actually do with the consultants we chose,0,0,0,0,0,1,0,0,0,1
86,86,86,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:56,7,Electric,First,17,@Akash: The email seems to say that we evaluate the actuators based on the factors the consultant wants.,0,0,0,0,0,1,0,0,0,1
87,87,87,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 9:56,7,Electric,First,17,@Akash: The email seems to say that we evaluate the actuators based on the factors the consultant wants.,0,0,0,0,0,1,0,0,0,1
88,88,88,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:57,7,Electric,First,17,So we pretty much do the same thing we did last work day but this time we say what the consultants would say about the electric actuator,0,0,0,0,0,1,0,0,0,1
89,89,89,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 9:57,7,Electric,First,17,@Justin Kim: ok thanks,0,0,0,0,0,0,0,0,1,1
90,90,90,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/3/13 10:23,7,Electric,First,17,Does it talk about the RPN of any of these actuators somewhere,0,0,1,0,0,0,0,0,0,1
91,91,91,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 10:24,8,Electric,First,17,@Akash: I didn't see any RPN numbers anywhere. I though it seemed like there was something missing.,0,0,1,0,0,0,0,0,0,1
92,92,92,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 10:24,8,Electric,First,17,@Akash: I didn't see any RPN numbers anywhere. I though it seemed like there was something missing.,0,0,1,0,0,0,0,0,0,1
93,93,93,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 10:34,8,Electric,First,17,So we need to do the prototype notebook before next time?,0,0,0,0,0,0,0,0,1,1
94,94,94,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 10:34,8,Electric,First,17,So we need to do the prototype notebook before next time?,0,0,0,0,0,0,0,0,1,1
95,95,95,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 10:37,8,Electric,First,17,@Justin Kim: Thanks.,0,0,0,0,0,0,0,0,1,1
96,96,96,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/3/13 10:37,8,Electric,First,17,@Justin Kim: Thanks.,0,0,0,0,0,0,0,0,1,1
97,97,97,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:30,8,Electric,First,22,I sure am!,0,0,0,0,0,0,0,0,1,1
98,98,98,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:30,8,Electric,First,22,I sure am!,0,0,0,0,0,0,0,0,1,1
99,99,99,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/8/13 9:32,8,Electric,First,22,Yipee!,0,0,0,0,0,0,0,0,1,1
100,100,100,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/8/13 9:32,8,Electric,First,22,What are we doing today?,0,0,0,0,0,0,0,0,1,1
101,101,101,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/8/13 9:35,8,Electric,First,22,@Justin Kim:Okay and by the way where did it say to do the prototype designs? I did them only because I happened to run across the other prototypes,0,0,0,0,0,0,0,0,1,1
102,102,102,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:39,8,Electric,First,22,"@Steven: I have an email from Vedant that is titled ""Designing Prototypes to Test"". It says to use the REDD to design your prototypes. Maybe you missed a worklog/",0,0,0,0,0,0,0,0,1,1
103,103,103,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:39,8,Electric,First,22,"@Steven: I have an email from Vedant that is titled ""Designing Prototypes to Test"". It says to use the REDD to design your prototypes. Maybe you missed a worklog/",0,0,0,0,0,0,0,0,1,1
104,104,104,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/8/13 9:40,8,Electric,First,22,The last worklog I did was the consultant one and I never received another or an email after that after that.,0,0,0,0,0,1,0,0,0,1
105,105,105,alexander b,FirstGame,5,7,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:41,8,Electric,First,22,Sorry I did not mean to send that,0,0,0,0,0,0,0,0,1,1
106,106,106,alexander b,FirstGame,5,7,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:41,8,Electric,First,22,@Akash:,0,0,0,0,0,0,0,0,1,1
107,107,107,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/8/13 9:43,8,Electric,First,22,Alex I think you should put your prototypes into a batch.,0,0,0,0,0,0,0,0,1,1
108,108,108,alexander b,FirstGame,5,7,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:44,9,Electric,First,22,Alright I just did I believe,0,0,0,0,0,0,0,0,1,1
109,109,109,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/8/13 9:46,9,Electric,First,22,I think Brandon already did what we were supposed to decide in our meeting but I don't know,0,0,0,0,0,0,0,0,1,1
110,110,110,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/8/13 9:47,9,Electric,First,22,Okay and when will the results be available from our redd designs,0,0,0,0,0,0,0,0,1,1
111,111,111,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:48,9,Electric,First,22,@Steven: The next email says 1 or 2 days after we submit our five TEAM designs.,0,0,0,0,0,0,0,0,1,1
112,112,112,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:48,9,Electric,First,22,@Steven: The next email says 1 or 2 days after we submit our five TEAM designs.,0,0,0,0,0,0,0,0,1,1
113,113,113,christian x,FirstGame,4,4,0,Low.Pre,No.Change,Neg.Change,10/8/13 9:49,9,Electric,First,22,Neither am I,0,0,0,0,0,0,0,0,1,1
114,114,114,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/8/13 9:49,9,Electric,First,22,Okay because I am not receiving any emails.,0,0,0,0,0,0,0,0,1,1
115,115,115,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/8/13 9:49,9,Electric,First,22,me neither,0,0,0,0,0,0,0,0,1,1
116,116,116,steven z,FirstGame,7,8,1,High.Pre,Pos.Change,Pos.Change,10/8/13 9:50,9,Electric,First,22,Just got one,0,0,0,0,0,0,0,0,1,1
117,117,117,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,10/8/13 9:51,9,Electric,First,22,oh ok i got one now,0,0,0,0,0,0,0,0,1,1
118,118,118,alexander b,FirstGame,5,7,1,Low.Pre,Pos.Change,Pos.Change,10/8/13 9:51,9,Electric,First,22,I received one,0,0,0,0,0,0,0,0,1,1
